PyPSA-Eur technology,ppm_fueltype,ppm_technology,ppm_set,parameter,source,reference,unit,comment
coal-pc,Hard Coal;Lignite,,,investment,REMIND,pc,,
coal-pc,Hard Coal;Lignite,,,lifetime,REMIND,pc,,
coal-pc,Hard Coal;Lignite,,,VOM,REMIND,pc,,
csp,,,,CO2 intensity,fixed,0,tCO2/MWh_th,Process without direct emissions
csp,,,,efficiency,REMIND,csp,,
csp,,,,FOM,REMIND,csp,,
csp,,,,fuel,fixed,0,USD/MWh,Dummy value to avoid PyPSA-EUR throwing an error
csp,,,,investment,fixed,-1,USD/MW,"Currently not in REMIND-EU output, else could be mapped to technology ""csp"""
csp,,,,lifetime,REMIND,csp,,
csp,,,,VOM,fixed,0,USD/MWh,"Currently not in REMIND-EU output, else could be mapped to technology ""csp"""
electrolysis,,,,CO2 intensity,fixed,0,tCO2/MWh_th,Process without direct emissions
electrolysis,,,,efficiency,REMIND,elh2,,
electrolysis,,,,FOM,REMIND,elh2,,
electrolysis,,,,fuel,fixed,0,USD/MWh,Dummy value to avoid PyPSA-EUR throwing an error
electrolysis,,,,investment,REMIND,elh2,,
electrolysis,,,,lifetime,REMIND,elh2,,
electrolysis,,,,VOM,REMIND,elh2,,
fuel cell,,,,CO2 intensity,fixed,0,tCO2/MWh_th,Process without direct emissions
fuel cell,,,,efficiency,REMIND,h2turb,,
fuel cell,,,,FOM,REMIND,h2turb,,
fuel cell,,,,fuel,fixed,0,USD/MWh,Dummy value to avoid PyPSA-EUR throwing an error
fuel cell,,,,investment,REMIND,h2turb,,
fuel cell,,,,lifetime,REMIND,h2turb,,
fuel cell,,,,VOM,REMIND,h2turb,,
gas-chp,Natural Gas,,CHP,CO2 intensity,REMIND,gaschp,,
gas-chp,Natural Gas,,CHP,efficiency,REMIND,gaschp,,
gas-chp,Natural Gas,,CHP,FOM,REMIND,gaschp,,
gas-chp,Natural Gas,,CHP,fuel,REMIND,pegas,USD/MWh_th,Natural gas fuel price from REMIND p32_PEPriceAvg
gas-chp,Natural Gas,,CHP,investment,REMIND,gaschp,,
gas-chp,Natural Gas,,CHP,lifetime,REMIND,gaschp,,
gas-chp,Natural Gas,,CHP,VOM,REMIND,gaschp,,
geothermal,,,,CO2 intensity,fixed,-1,tCO2/MWh_th,"Currently not in REMIND-EU output, else could be mapped to technology ""geohdr"""
geothermal,,,,efficiency,fixed,-1,p.u.,"Currently not in REMIND-EU output, else could be mapped to technology ""geohdr"""
geothermal,,,,FOM,REMIND,geohdr,,
geothermal,,,,fuel,fixed,0,USD/MWh,Dummy value to avoid PyPSA-EUR throwing an error
geothermal,,,,investment,fixed,-1,USD/MW,"Currently not in REMIND-EU output, else could be mapped to technology ""geohdr"""
geothermal,,,,lifetime,REMIND,geohdr,,
geothermal,,,,VOM,fixed,0,USD/MWh,"Currently not in REMIND-EU output, else could be mapped to technology ""geohdr"""
HVAC overhead,,,,CO2 intensity,fixed,0,tCO2/MWh_th,
HVAC overhead,,,,efficiency,fixed,1,p.u.,Process without direct losses
HVAC overhead,,,,FOM,PyPSA-Eur,,,
HVAC overhead,,,,fuel,fixed,0,USD/MWh,Dummy value to avoid PyPSA-EUR throwing an error
HVAC overhead,,,,investment,PyPSA-Eur,,,
HVAC overhead,,,,lifetime,PyPSA-Eur,,,
HVAC overhead,,,,VOM,fixed,0,USD/MWh,"No value originally in PyPSA-EUR databse, using default fill value"
HVDC inverter pair,,,,CO2 intensity,fixed,0,tCO2/MWh_th,
HVDC inverter pair,,,,efficiency,fixed,1,p.u.,Process without direct losses
HVDC inverter pair,,,,FOM,PyPSA-Eur,,,
HVDC inverter pair,,,,fuel,fixed,0,USD/MWh,Dummy value to avoid PyPSA-EUR throwing an error
HVDC inverter pair,,,,investment,PyPSA-Eur,,,
HVDC inverter pair,,,,lifetime,PyPSA-Eur,,,
HVDC inverter pair,,,,VOM,fixed,0,USD/MWh,"No value originally in PyPSA-EUR databse, using default fill value"
HVDC overhead,,,,CO2 intensity,fixed,0,tCO2/MWh_th,
HVDC overhead,,,,efficiency,fixed,1,p.u.,Process without direct losses
HVDC overhead,,,,FOM,PyPSA-Eur,,,
HVDC overhead,,,,fuel,fixed,0,USD/MWh,Dummy value to avoid PyPSA-EUR throwing an error
HVDC overhead,,,,investment,PyPSA-Eur,,,
HVDC overhead,,,,lifetime,PyPSA-Eur,,,
HVDC overhead,,,,VOM,fixed,0,USD/MWh,"No value originally in PyPSA-EUR databse, using default fill value"
HVDC submarine,,,,CO2 intensity,fixed,0,tCO2/MWh_th,
HVDC submarine,,,,efficiency,fixed,1,p.u.,Process without direct losses
HVDC submarine,,,,FOM,PyPSA-Eur,,,
HVDC submarine,,,,fuel,fixed,0,USD/MWh,Dummy value to avoid PyPSA-EUR throwing an error
HVDC submarine,,,,investment,PyPSA-Eur,,,
HVDC submarine,,,,lifetime,PyPSA-Eur,,,
HVDC submarine,,,,VOM,fixed,0,USD/MWh,"No value originally in PyPSA-EUR databse, using default fill value"
hydro,,,,CO2 intensity,fixed,0,tCO2/MWh_th,Process without direct emissions
hydro,,,,efficiency,REMIND,hydro,,
hydro,,,,FOM,REMIND,hydro,,
hydro,,,,fuel,fixed,0,USD/MWh,Dummy value to avoid PyPSA-EUR throwing an error
hydro,,,,investment,REMIND,hydro,,
hydro,,,,lifetime,REMIND,hydro,,
hydro,,,,VOM,fixed,0,USD/MWh,"No value originally in PyPSA-EUR databse, using default fill value"
hydrogen storage underground,,,,CO2 intensity,fixed,0,tCO2/MWh_th,
hydrogen storage underground,,,,efficiency,fixed,1,p.u.,Storage without losses
hydrogen storage underground,,,,FOM,REMIND,h2stor,,
hydrogen storage underground,,,,fuel,fixed,0,USD/MWh,Dummy value to avoid PyPSA-EUR throwing an error
hydrogen storage underground,,,,investment,REMIND,h2stor,,
hydrogen storage underground,,,,lifetime,REMIND,h2stor,,
hydrogen storage underground,,,,VOM,fixed,0,USD/MWh,No VOM for storage technologies
hydrogen storage tank type 1 including compressor,,,,FOM,PyPSA-Eur,,,
hydrogen storage tank type 1 including compressor,,,,investment,PyPSA-Eur,,,
hydrogen storage tank type 1 including compressor,,,,lifetime,PyPSA-Eur,,,
nuclear,Nuclear,,,CO2 intensity,fixed,0,tCO2/MWh_th,Process without direct emissions
nuclear,Nuclear,,,efficiency,REMIND,tnrs,,
nuclear,Nuclear,,,FOM,REMIND,tnrs,,
nuclear,Nuclear,,,fuel,REMIND,peur,,
nuclear,Nuclear,,,investment,REMIND,tnrs,,
nuclear,Nuclear,,,lifetime,REMIND,tnrs,,
nuclear,Nuclear,,,VOM,REMIND,tnrs,,
nuclear-fast,,,,CO2 intensity,fixed,0,tCO2/MWh_th,Process without direct emissions; not added to network currently
nuclear-fast,,,,efficiency,REMIND,fnrs,,
nuclear-fast,,,,FOM,REMIND,fnrs,,
nuclear-fast,,,,fuel,REMIND,peur,,
nuclear-fast,,,,investment,REMIND,fnrs,,
nuclear-fast,,,,lifetime,REMIND,fnrs,,
nuclear-fast,,,,VOM,REMIND,fnrs,,
ocgt,Natural Gas,OCGT,,CO2 intensity,REMIND,ngt,,
ocgt,Natural Gas,OCGT,,efficiency,REMIND,ngt,,
ocgt,Natural Gas,OCGT,,FOM,REMIND,ngt,,
ocgt,Natural Gas,OCGT,,fuel,REMIND,pegas,USD/MWh_th,Natural gas fuel price from REMIND p32_PEPriceAvg
ocgt,Natural Gas,OCGT,,investment,REMIND,ngt,,
ocgt,Natural Gas,OCGT,,lifetime,REMIND,ngt,,
ocgt,Natural Gas,OCGT,,VOM,REMIND,ngt,,
offwind,,,,CO2 intensity,fixed,0,tCO2/MWh_th,Process without direct emissions
offwind,,,,efficiency,REMIND,windoff,,
offwind,,,,FOM,REMIND,windoff,,
offwind,,,,fuel,fixed,0,USD/MWh,Dummy value to avoid PyPSA-EUR throwing an error
offwind,,,,investment,REMIND,windoff,,
